Name,Position,Country,Season/s,Team,Height,Wingspan,Reach,GP,GS,MPG,FGA,FGM,FG%,3PA,3PM,3P%,FT%,RPG,APG,SPG,BPG,PPG,TO,Fouls,Class
Anthony Bennett,PF/SF,Canada,1,UNLV,6'8,"7'-1""",,35,32,27.1,379,202,0.533,96,36,0.375,0.701,8.1,1,0.7,1.2,16.1,1.9,1.2,Bad
Victor Oladipo,SG/PG,USA,3,Indiana,6'5,"6'-9""","8'-5""",104,75,24.6,754,406,0.538,142,48,0.338,0.716,5.2,1.7,1.5,0.5,10.7,1.9,2.4,Good
Otto Porter,SF,USA,2,Georgetown,6'8,"7'-2""","8'-10""",64,38,32.5,588,293,0.498,155,55,0.355,0.751,7.1,2.1,1.5,0.9,12.8,1.3,2,Bad
Cody Zeller,C/PF,USA,2,Indiana,7'0,"6'-11""","8'-11""",72,72,29,675,399,0.591,2,0,0,0.756,7.3,1.3,1.2,1.3,16.1,2,2.5,Good
Alex Len,C,Ukaraine,2,Maryland,7'1,"7'-4""",,60,48,24.5,418,225,0.538,9,1,0.111,0.663,7,0.8,0.2,2.1,9.7,1.6,2.6,Bad
Nerlens Noel,C,USA,1,Kentucky,6'10,"7'-4""","9'-2""",24,24,31.9,166,98,0.59,0,0,0,0.529,9.5,1.6,2.1,4.4,10.5,1.9,2.6,Average
Ben McLemore,SG,USA,1,Kansas,6'5,"6'-8""","8'-5""",37,36,32.2,400,198,0.495,174,73,0.42,0.87,5.2,2,1,0.7,15.9,2.1,1.9,Average
Kentavious Caldwell-Pope,SG,USA,2,Georgia,6'5,"6'-8""","8'-5""",64,60,33,814,338,0.415,439,149,0.339,0.752,6.1,1.5,1.9,0.4,15.8,1.6,2.2,Average
Trey Burke,PG,USA,2,Michigan,6'0,"6'-6""","8'-2""",73,71,35.7,969,436,0.45,362,133,0.367,0.777,3.3,5.7,1.3,0.5,16.9,2.5,1.7,Good
C.J. McCollum,SG,USA,4,Lehigh,6'3,"6'-6""","8'-1""",111,108,32.9,767,1746,0.439,217,576,0.377,0.825,6.3,2.7,2.1,0.5,21.3,2.4,1.8,Bad
Michael Carter Williams,PG,USA,2,Syracuse,6'6,"6'-7""","8'-5""",66,40,25.4,180,452,0.398,42,138,0.304,0.679,3.5,5.2,2,0.4,8.2,2.3,1.8,Good
Steven Adams,C,New Zealand,1,Pitt,7'0,"7'-5""","9'-2""",32,32,23.4,175,100,0.571,0,0,0,0.443,6.3,0.6,0.7,2,7.2,1.1,1.6,Good
Kelly Olynyk,C,Canada,3,Gonzaga,7'0,"6'-10""","9'-0""",101,31,17.2,338,569,0.594,25,75,0.333,0.709,4.6,1.1,0.5,0.5,8.9,1.4,2,Good
Shabazz Muhammad,SG/SF,USA,1,UCLA,6'6,"6'-11""","8'-9""",32,30,30.8,202,456,0.443,106,40,0.377,0.711,5.2,0.8,0.7,0.1,17.9,1.6,1.7,Bad
Giannis Antetokounmpo,SF/PF,Greece,,,6'9,,,,,,,,,,,,,,,,,,,,Good
Lucas Nogueira,C,Brazil,,,7'0,"7'-6""","9'-6""",,,,,,,,,,,,,,,,,,Bad
Dennis Schroder,PG,Germany,,,6'2,"6'-8""","8'-2""",,,,,,,,,,,,,,,,,,Bad
Shane Larkin,PG,USA,2,Miami(FL),5'11,"5'-11""","7'-6""",68,54,31.3,256,585,0.438,101,269,0.375,0.808,3.2,3.6,1.8,0.1,11.2,2.1,1.6,Bad
Sergey Karasev,SG/SF,Russia,,,6'7,"6'-9""",,,,,,,,,,,,,,,,,,,Bad
Tony Snell,SF,USA,3,New Mexico,6'7,"6'-12""","8'-10""",104,76,24.8,738,311,0.421,165,434,0.38,0.821,2.4,2,0.5,0.3,9.2,1.5,1.2,Average
Gorgui Dieng,C,Senegal,3,Louiseville,6'11,"7'-4""","9'-4""",102,81,27.3,620,338,0.545,3,1,0.333,0.64,7.9,1.2,1,2.6,8.3,1.6,2.7,Good
Mason Plumlee,C,USA,4,Duke,6'10,"6'-11""","9'-0""",141,99,25.9,914,525,0.574,8,2,0.3,0.583,7.7,1.5,0.8,1.4,9.8,2,2.5,Good
Solomon Hill,SF,USA,4,Arizona,6'7,"6'-9""","8'-5""",139,129,29,1019,491,0.482,311,117,0.376,0.746,5.6,2.2,0.9,0.4,10.4,2.5,2.1,Bad
Tim Hardaway Jr.,SG,USA,3,Michigan,6'6,"6'-7""","8'-5""",107,107,33.3,1239,527,0.425,589,202,0.343,0.724,4.1,2.1,0.7,0.3,14.3,1.7,2,Good
Reggie Bullock,SF,USA,3,UNC,6'7,"6'-9""","8'-6""",100,53,24.6,815,358,0.439,486,188,0.387,0.72,5,1.7,0.2,0.9,9.9,0.9,1.2,Bad
Andre Roberson,SG/SF,USA,3,Colorado,6'7,"8'-9""",,105,65,28.3,741,382,0.516,143,50,0.35,0.582,10,1.1,1.6,1.4,9.6,1.7,2.6,Average
Rudy Gobert,C,France,,,7'2,"7'-9""","9'-7""",,,,,,,,,,,,,,,,,,Bad
Livio Jean-Charles,SF,France,,,6'9,"7'-2""",,,,,,,,,,,,,,,,,,,Bad
Archie Goodwin,SG,USA,1,Kentucky,6'5,"6'-10""","8'-6""",33,33,31.8,357,157,0.44,64,17,0.266,0.637,4.6,2.7,1.1,0.5,14.1,3.1,2.9,Bad
Nemanja Nedovic,PG,Serbia,,,6'4,"6'-7""","8'-3""",,,,,,,,,,,,,,,,,,Bad
Allen Crabbe,SG,USA,3,University of California,6'6,"6'-11""","8'-8""",98,97,34.7,1195,533,0.446,547,209,0.382,0.819,5.7,2.2,0.9,0.6,15.7,1.9,1.7,Bad
Alex Abrines,SG/SF,Spain,,,,,,,,,,,,,,,,,,,,,,,Bad
Carrick Felix,SG,USA,3,Arizona State,6'6,"6'-9""","8'-8""",94,69,27.9,,,0.456,,,0.326,0.704,4.8,1.3,1,0.8,10.2,,,Bad
Isaiah Canaan,PG,USA,4,Murray State,6'1,"6'-5""","7'-11""",132,83,29.4,1411,635,0.45,725,304,0.419,0.803,2.8,2.9,1.2,0.1,15.5,2.4,1.8,Bad
Glen Rice Jr.,SG,USA,3,Georgia Tech,6'5,"6'-9""","8'-6""",87,44,24.8,727,316,0.435,289,100,0.346,0.611,4.8,2.1,1.3,0.5,9.9,1.9,2.2,Average
Ray McCallum Jr.,PG,USA,3,Detroit,6'3,"6'-3""","8'-1""",102,101,34.5,1173,546,0.465,335,97,0.29,0.723,4.8,4.4,1.7,0.3,15.9,2.3,2.1,Average
Tony Mitchell,PF,USA,2,North Texas,6'8,"7'-3""","8'-11""",55,51,31.1,526,258,0.49,141,48,0.34,0.702,9.3,1.1,0.9,2.9,13.7,2.6,3,Bad
Nate Wolters,PG,USA,4,South Dakota State,6'4,"6'-4""","8'-2""",127,109,33.1,1725,778,0.45,464,159,0.343,0.803,4.7,5.3,1.5,0.2,18.5,2.2,1.8,Bad
Jeff Withey,C,USA,4,Kansas,7'0,"7'-2""","9'-3""",117,76,19.8,576,327,0.568,1,1,1,0.726,5.4,0.6,0.5,2.7,8,1.2,1.8,Bad
Grant Jerrett,PF,USA,1,Arizona,6'10,"7'-2""","9'-1""",34,2,17.8,154,63,0.409,79,32,0.405,0.818,3.6,0.5,0.5,1,5.2,0.6,1.3,Bad
Jamaal Franklin,SG,USA,3,San Diego State,6'5,"6'-11""","8'-8""",85,54,25.9,857,366,0.427,328,100,0.305,0.78,7,2,1,0.6,13.9,2.6,2.2,Bad
Pierre Jackson,PG,USA,2,Baylor,5'10,"5'-10""","7'-6""",74,55,32.8,884,390,0.441,414,157,0.379,0.808,3.3,6.5,1.6,0,16.7,3.5,2.3,Bad
Ricky Ledo,SG,USA,,,6'6,"6'-7""","8'-7""",,,,,,,,,,,,,,,,,,Bad
Mike Muscala,C,USA,3,Bucknell,6'11,"7'-1""","9'-0""",133,118,28.7,1443,723,0.501,67,21,0.313,0.819,8.2,1.6,0.4,2,15.3,1.6,2.3,Bad
Marko Todorovic,PF/C,Montenegro,,,6'10,,,,,,,,,,,,,,,,,,,,Bad
Erick Green,PG,USA,4,Viriginia Tech,6'4,"6'-6""","8'-2""",129,89,28.3,1356,596,0.437,414,140,0.338,0.804,2.6,2.5,1.2,0.2,13.5,1.4,1.6,Bad
Raul Neto,PG,Brazil,4,Lagun Aro GBC/UCAM Murcia,6'2,"6'-4""","8'-2""",129,,22.6,,,0.441,,,0.296,0.727,2.2,3,1.1,0.1,8.2,,,Bad
Ryan Kelly,PF,USA,4,Duke,6'11,"6'-12""","9'-2""",126,69,19.3,682,314,0.46,269,102,0.379,0.805,3.7,0.9,0.6,1.1,7.5,0.8,1.9,Bad
Erik Murphy,PF,Finland,4,Florida,6'10,"6'-11""","9'-0""",125,,20,701,397,0.566,329,143,0.435,0.757,4.1,0.8,0.5,0.7,8.4,1.1,2.4,Bad
James Ennis,SF,USA,2,Long Beach State,6'7,"6'-12""","8'-9""",67,66,31,606,299,0.493,277,98,0.354,0.788,5.4,2.4,1.7,1,13.2,2.5,2.4,Bad
Romero Osby,PF,USA,4,Mississippi State/Oklahoma,6'8,"6'-10""","8'-8""",134,65,20.6,868,427,0.492,102,40,0.392,0.737,4.7,0.8,0.4,0.6,9,1.2,1.8,Bad
Lorenzo Brown,PG,USA,3,North Carolina State,6'5,"6'-7""","8'-4""",101,95,32.6,955,410,0.429,210,64,0.305,0.741,4.2,5.8,1.7,0.5,11.6,3,1.9,Bad
Colton Iverson,C,USA,4,Minnesota/Colorado State,6'10,"7'-2""","9'-2""",133,77,20.8,694,379,0.546,0,0,0,0.564,5.7,0.9,0.4,0.9,7.6,1.6,2.2,Bad
Arsalan Kazemi,PF,Iran,4,Oregon,6'8,"7'-0""","8'-8""",130,110,28.9,895,500,0.559,2,0,0,0.678,10.1,1.5,1.7,0.8,11.7,1.8,2.5,Bad
Joffrey Lauvergne,C,France,2,Partizan Belgrade,6'11,,,,,,,,,,,,,,,,,,,,Bad
Peyton Siva,PG,USA,4,Louisville,6'0,"6'-3""","7'-9""",144,113,26.2,989,412,0.417,340,99,0.291,0.737,2.4,4.7,1.8,0.1,8.4,2.6,2.5,Bad
Alex Oriakh,C,USA,4,Missouri,6'9,"7'-4""","9'-0""",143,130,25.5,843,447,0.53,1,0,0,0.641,7.2,0.3,0.4,1.5,8.2,1.2,2.3,Bad
Deshuan Thomas,SF,USA,3,Ohio State,6'7,"6'-10""","8'-8""",113,76,27,1270,608,0.479,418,143,0.342,0.799,4.9,0.9,0.4,0.2,14.4,1.1,1.4,Bad
Bojan Dubljevic,PF,Montenegro,,Valencia Basket,6'9,"7'-1""","9'-0""",,,,,,,,,,,,,,,,,,Bad
Janis Timma,SF,Latvia,,BK Ventspils,6'7,,,,,,,,,,,,,,,,,,,,Bad
