Name,Position,Country,Season/s,Team,Height,Wingspan,Reach,GP,GS,MPG,FGA,FGM,FG%,3PA,3PM,3P%,FT%,RPG,APG,SPG,BPG,PPG,TO,Fouls,Class
Kyrie Irving ,PG,Austalia,1,Duke,6'-4,"6'-4""","8'-3""",11,8,27.5,104,55,0.529,39,18,0.462,0.901,3.4,4.3,1.5,0.5,17.5,2.5,2.1,
Derrick Williams ,SF/PF,USA,2,Arizona,6'-9,"7'-2""","9'-0""",69,69,29.2,662,388,0.586,90,46,0.511,0.719,7.8,0.9,0.8,0.7,17.8,2.3,2.7,
Enes Kanter,PF/C,Turkey,,,6'-11,"7'-2""","9'-2""  ",,,,,,,,,,,,,,,,,,
Tristan Thompson ,PF,Canada,1,Texas,6'-9,"7'-2""","9'-1""",36,34,30.7,315,172,0.546,0,0,0,0.487,7.8,1.3,0.9,2.4,13.1,1.8,2.8,
Jonas Valanciunas,C,Lithuania,,,7'-0,"7'-4""","9'-3""",,,,,,,,,,,,,,,,,,
Jan Vesely,SF/PF,Czech Republic,,,6'-11,,,,,,,,,,,,,,,,,,,,
Bismack Biyombo,C,DR Congo,,,6'-9,"7'-7""","9'-3""",,,,,,,,,,,,,,,,,,
Brandon Knight,PG/SG,USA,1,Kentucky,6'-4,"6'-7""","8'-3""",38,38,35.9,513,217,0.423,231,87,0.377,0.795,4,4.2,0.7,0.2,17.3,3.2,2.2,
Kemba Walker,PG,USA,3,Uconn,6'-1,"6'-4""","7'-8""",111,77,32.8,1350,578,0.428,387,126,0.326,0.782,4.3,4.4,1.7,0.2,16.1,2.3,1.5,
Jimmer Freddette ,PG,USA,4,BYU,6'-4,"6'-5""","8'-1""",139,,29.6,1843,838,0.455,752,296,0.394,0.882,2.6,3.7,1.2,0.1,18.7,2.5,1.2,
Klay Thompson,SG/SF,USA,3,wsu,6'-7,"6'-9""","8'-8""",98,,34.4,1414,599,0.424,620,242,0.39,0.827,4.8,2.6,1.3,0.8,17.9,3,2.4,
Alec Burks,PG/SG,USA,2,Colorado,6'-6,"6'-10""","8'-8""",68,67,31,855,423,0.495,150,47,3.2,0.804,5.8,2.4,1.1,0.4,19,2.3,2.4,
