Name,Position,Country,Season/s,Team,Height,Wingspan,Reach,GP,GS,MPG,FGA,FGM,FG%,3PA,3PM,3P%,FT%,RPG,APG,SPG,BPG,PPG,TO,Fouls,Class
Markieff Morris ,PF,USA,3,Kansas,6'-9,"6'-11""","8'-11""",109,44,19.3,617,341,0.553,94,38,0.404,0.653,6.1,1.2,0.6,0.9,8.5,1.6,2.7,
Marcus Morris,SF/PF,USA,3,Kansas,6'-9,"6'-10""","8'-1""",109,91,24,916,508,0.555,123,44,0.358,0.66,6.2,1.3,0.9,0.4,12.6,1.6,2.6,
Kawhi Leonard,SF,USA,2,SDSU,6'-7,"7'-3""","8'-10""",70,69,31.9,840,377,0.449,164,41,0.25,0.744,10.2,2.2,1.4,0.7,14.1,2.2,2.5,
Nikola Vucevic,C,Montenegro,3,USC,7'-0,"7'-5""","9'-5""  ",87,67,27.7,721,367,0.509,122,37,0.303,0.746,8,1.1,0.5,1.1,11.1,1.5,2.4,
Iman Shumpert,PG/SG,USA,3,Georgia Tech,6'-6,"6'-10""","8'-4""",92,91,31.3,977,387,0.396,364,111,0.305,0.738,4.5,4.2,2.3,0.2,12.7,3,2.7,
Chris Singleton,SF/PF,USA,3,Florida St.,6'-9,"7'-1""","8'-8""",95,91,29.1,802,336,0.419,315,104,0.33,0.592,6.2,1.5,1.9,1.4,10.3,2.4,3.1,
Tobias Harris ,SF/PF,USA,1,Tennessee,6'-8,"6'-11""","8'-8""",34,33,29.2,402,185,0.46,76,23,0.303,0.753,7.3,1.3,0.7,0.9,15.3,1.8,2.1,
Donatas Montiejunas,PF,Lithuania,,,7'-0,,,,,,,,,,,,,,,,,,,,
Nolan Smith,PG/SG,USA,4,Duke,6'-4,"6'-6""","8'-3""",143,97,26.9,1490,667,0.448,451,166,0.368,0.8,2.8,2.8,1,0.1,13.4,2,1.9,
Kenneth Faried,PF,USA,4,MORE,6'-8,"7'-0""","9'-0""",136,122,29.1,1376,783,0.569,12,3,0.25,0.583,12.3,0.9,1.7,1.8,14.8,2.2,3.1,
Nikola Merotic,SF/PF,Spain,,,6'-10,"7'-1""",,,,,,,,,,,,,,,,,,,
Reggie Jackson,PG/SG,USA,3,Boston College,6'-3,"7'-0""",,99,52,28,979,455,0.465,345,121,0.351,0.753,4.4,3.5,0.8,0.5,12.7,2.1,1.7,
Marshon Brooks,SG,USA,4,PROV,6'-5,"7'1""","8'-5""",113,56,25.3,1265,587,0.464,475,158,0.333,0.739,4.3,1.5,1.1,0.7,14.4,1.8,2,
Jordan Hamilton,SG/SF,USA,2,Texas,6'-9,"6'-10""","8'-8""",70,36,26.2,852,366,0.43,393,148,0.377,0.71,5.7,1.8,0.8,0.5,14.5,1.8,1.5,
Jajuan Johnson Purdue,PF,USA,4,Purdue,6'-10,"7'-2""","8'-10""",140,119,27.5,1410,706,0.501,60,15,0.25,0.743,6.1,0.7,0.7,1.9,13.7,1.3,1.8,
Noris Cole,PG,USA,4,,6'-2,"6'-2""","8'-0""",140,106,29.4,1555,677,0.435,433,139,0.321,0.826,3.2,3.3,1.5,0.1,14.1,2,2.2,
Cory Joseph,PG,Canada,1,Texas,6'-3,"6'-6""","8'-3""",36,36,32.4,322,136,0.422,126,52,0.413,0.699,3.6,3,1,3,10.4,1.5,1.8,
Jimmy Butler,SF,USA,3,Marquette,6'-8,"6'-8""","8'-6""",106,69,29.6,768,390,0.508,94,36,0.383,0.773,5.5,1.7,1.1,0.5,12,1,1.7,
Bojan Bogdanovic,SG/SF,Croatia,,,6'-7,,,,,,,,,,,,,,,,,,,,
Justin Harper,PF,USA,4,Richmond,6'-9,"7'-0""","8'-10""",137,96,22.9,1111,537,0.483,468,179,0.382,0.711,4.8,0.7,0.6,0.8,10.6,1.3,2.2,
Kyle Singler ,SF,USA,4,Duke,6'-9,"6'-10""","8'-10""",148,147,33,1879,814,0.433,736,267,0.363,0.773,6.9,2,1.1,0.7,16.2,2.1,2.6,
Shelvin Mack,PG/SG,USA,3,Butler,6'-3,"6'-8""","8'-1""",108,107,31.2,1228,515,0.419,605,216,0.357,0.7455,4.2,3.3,1.1,0.1,14.1,2.2,1.9,
Tyler Honeycutt,SG/SF,USA,2,UCLA,6'-8,"6'-9""","8'-9""",59,51,31.7,494,213,0.431,181,65,0.359,0.684,6.9,2.8,1.2,1.7,10.3,2.8,1.9,
Jordan Williams ,PF,USA,2,Maryland,6'-9,"7'-0""","8'-11""",66,64,28.6,642,339,0.528,0,0,0,0.559,10.2,0.4,0.7,1.2,13.2,1.3,2.6,
Trey thompkins,PF,USA,3,Georgia ,6'-10,"7'-1""","9'-0""",89,81,29.5,1141,535,0.469,221,79,0.357,0.729,7.8,1.4,1,1.3,15.7,2.6,2.2,
Chandler Parsons,SF,USA,4,Florida,6'-10,"6'-10"" ","8'-9"" ",142,81,27.9,1105,527,0.477,454,153,0.337,0.611,6,2.4,0.9,0.3,10.2,1.6,2,
Jeremy Tyler,PF/C,USA,,,6'-11,"7'-5"" ","9'-3"" ",,,,,,,,,,,,,,,,,,
Jon Leuer,PF,USA,4,Wisconsin,7'-0,"7'-0"" ","8'-10"" ",123,68,22.8,1074,518,0.482,272,100,0.368,0.723,4.5,1.1,0.4,0.7,11.2,1.2,1.6,
Darius morris,PG,USA,2,Michigan,6'-5,"6'-8"" ","8'-6"" ",67,53,29.8,539,253,0.469,103,23,0.223,0.695,2.9,4.8,0.8,0.1,9.9,2.3,2,
Davis Bertans,SF,Latvia,,Latvia,6'-10,"6'-10"" ","8'-10""",,,,,,,,,,,,,,,,,,
Malcolm Lee,PG/SG,USA,3,UCLA,6'-6,"6'-10"" ","8'-6"" ",67,53,29.8,539,253,0.469,103,23,0.223,0.695,2.9,4.8,0.8,0.1,9.9,2.3,2,
Charles Jenkins,PG/SG,USA,4,Hofstra,6'-3,"6'-8"" ","8'-1""",128,128,35.9,1856,847,0.456,471,180,0.382,0.811,4.3,3.8,1.7,0.6,19.6,3,2.5,
Josh Harrellson,PF/C,USA,3,Kentucky,6'-10,,,94,40,15.8,337,185,0.549,29,9,0.31,0.649,4.7,0.4,0.5,0.9,4.7,0.6,1.4,
Andrew Goudelock,PG/SG,USA,4,Charleston,6'-3,"6'-5"" ","8'-1""",140,124,32.8,2092,956,0.457,958,396,0.413,0.838,3.3,3,9,0.3,18.4,2.2,1.5,
Travis Leslie,SG/SF,USA,3,Georgia,6'-4,"6'-11""","8'-7"" ",90,68,26.8,866,417,0.482,57,19,0.333,0.743,6.1,2.1,1.1,0.7,12.2,2,1.8,
Keith Benson,C,USA,4,Oakland,6'-11,"7'-4""","9'-2""",135,126,26.8,1226,684,0.558,29,11,0.379,0.679,8.2,0.7,0.5,2.7,14.1,1.4,2.8,
Josh Selby,PG/SG,USA,1,Kansas,6'-3,"6'-5""","8'-2""",26,11,20.4,193,72,0.373,94,34,0.362,0.757,2.2,2.2,0.8,0,7.9,2,1.7,
Lavoy Allen,PF,USA,4,Temple,6'-9,,,135,130,32.2,1109,592,0.534,66,19,0.288,0.671,8.5,2.1,0.5,1.6,10.5,1.4,2.5,
Jon Diebler,SG,USA,4,Ohio State,6'-7,"6'-6""","8'-3""",144,114,32.6,1109,473,0.427,900,374,0.416,0.821,2.8,1.9,1,0.2,10.7,1.2,1.3,
Vernon Macklin,PF,USA,4,Florida,6'-9,"7'-4""","9'-1""",136,69,18.4,720,439,0.61,1,0,0,0.455,3.7,0.7,0.3,0.6,7.3,1.1,1.9,
DeAndre Liggins,SG,USA,3,Kentucky,6'-7,"6'-11""","8'-8""",100,29,21.9,477,194,0.407,187,62,0.332,0.643,3,2.1,0.9,0.5,5.8,1.5,1.9,
Milan Macvan,PF,Serbia,,,6'-9,,,,,,,,,,,,,,,,,,,,
E'twaun Moore,PG/SG,USA,4,Purdue,6'-4,"6'-10""","8'-4""",140,135,32.3,1174,780,0.44,639,243,0.38,0.729,4.4,2.9,1.2,0.4,15.3,2.1,2.3,
Chukwudiebere Maduabum,PF,Nigeria,,,6'-9,,,,,,,,,,,,,,,,,,,,
Tanguy Ngombo,SF,Qatar,,,6'-6,,,,,,,,,,,,,,,,,,,,
Ater Majok,PF,Austalia,1,UConn,6'-10,,,26,22,14.7,59,25,0.424,0,0,0,0.409,3,0.2,0.2,1.6,2.3,0.8,2,
Adam Hanga,PG/SG,Hungary,,,6'-7,,,,,,,,,,,,,,,,,,,,
Isaiah Thomas,PG,USA,3,Washington,5'-10,"6'-2""","7'-8""",105,104,30.4,1301,554,0.426,505,164,0.325,0.713,3.5,4,1.2,0.1,16.4,2.7,2,
