Name,Position,Country,Season/s,Team,Height,Wingspan,Reach,GP,GS,MPG,FGA,FGM,FG%,3PA,3PM,3P%,FT%,RPG,APG,SPG,BPG,PPG,TO,Fouls,Class
Walter Tavares,C,Cape Verde,,CB Gran Canaria,7'3,"7'-6""",,,,,,,,,,,,,,,,,,,Bad
Markel Brown,SG,USA,4,Oklahoma State,6'4,"6'-9""","8'-4""",134,,30.5,1255,551,0.439,421,146,0.347,0.733,4.3,2.3,1,0.8,12.4,1.8,2.1,Average
Dwight Powell,PF,Canada,4,Stanford,6'11,"7'-1""","8'-9""",136,,26.2,1110,515,0.464,114,33,0.289,0.722,6.3,1.8,0.9,0.9,10.8,2.1,2.9,Bad
Jordan Clarkson,PG,USA,3,Missouri,6'5,"6'-8""","8'-2""",93,75,31.7,1076,473,0.434,295,95,0.322,0.805,3.3,2.7,0.9,0.3,15.4,2.7,2.3,Good
Russ Smith,PG/SG,USA,4,Louisville,6'0,"6'-4""","7'-11""",133,,24.3,1501,620,0.413,521,180,0.345,0.76,2.7,2.8,1.9,0.1,14.3,2.4,2.4,Bad
Lamar Patterson,SG/SF,USA,5,Pittsburgh,6'5,"6'-11""","8'-3""",149,,24.3,1097,477,0.435,463,171,0.369,0.723,3.9,2.9,1,0.3,9.5,1.6,1.9,Bad
Cameron Bairstow,PF/C,Australia,4,New Mexico,6'9,,,134,,20.8,808,418,0.517,6,2,0.333,0.717,4.8,0.8,0.5,0.7,9.2,1.2,2.1,Bad
Alec Brown,C,USA,4,Green Bay,7'1,,,126,,29.3,1299,604,0.465,195,78,0.4,0.748,6.3,0.9,0.6,2.4,12.6,2.1,2.7,Bad
Thanasis Antetokounmpo,SF,Greece,,Delaware 87ers,6'6,"8'-9""","7'-0""",,,,,,,,,,,,,,,,,,Bad
Vasilije Micic,PG,Serbia,,Mega Vizura,6'4,,,,,,,,,,,,,,,,,,,,Bad
Alessandro Gentile,SF,Italy,,Olimpia Milano,6'6,,,,,,,,,,,,,,,,,,,,Bad
Nemanja Dangubic,SG,Serbia,,Mega Vizura,6'8,"6'-8""","8'-7""",,,,,,,,,,,,,,,,,,Bad
Semaj Christon,PG,USA,2,Xavier,6'3,"6'-7""","8'-7""",64,,34.8,785,363,0.462,77,26,0.338,0.67,2.8,4.4,1.4,0.2,16.2,3.1,2.4,Bad
Devyn Marble,SG/SF,USA,4,Iowa,6'7,"6'-9""","8'-6""",136,,27.6,1359,564,0.415,396,134,0.338,0.726,3.4,2.9,1.3,0.2,12.5,1.7,1.6,Average
Louis Labeyrie,PF/C,France,,Paris-Levallois Basket,6'10,"6'-10""","9'-0""",,,,,,,,,,,,,,,,,,Bad
Jordan McRae,SG,USA,4,Tennessee,6'7,"7'-11""","8'-8""",114,74,27.1,1190,496,0.417,522,179,0.343,0.769,3.3,1.8,0.6,0.9,13.3,2,1.9,Bad
Xavier Thames,PG/SG,USA,4,San Diego State,6'4,"6'-4""","8'-0""",128,95,28,1080,427,0.395,354,123,0.374,0.814,2.6,2.8,1.1,0.2,10.7,1.6,1.9,Bad
Cory Jefferson,PF,USA,4,Baylor,6'9,"7'-1""","8'-9""",130,76,19.9,794,431,0.543,50,17,0.34,0.66,5.6,0.4,0.3,1.3,8.9,0.8,1.7,Average
