Name,Position,Country,Season/s,Team,Height,Wingspan,Reach,GP,GS,MPG,FGA,FGM,FG%,3PA,3PM,3P%,FT%,RPG,APG,SPG,BPG,PPG,TO,Fouls,Class
John Wall,PG,USA,1,Kentucky,"6'4""","6'-9""","8'-6""",37,37,34.8,438,202,0.461,114,37,0.325,0.754,4.3,6.5,1.8,0.5,16.6,4,1.9,
Evan Turner,SF/SG,USA,3,Ohio State,"6'7""","6'-8""","8'-8""",33,,33.1,358,180,0.5,50,18,0.362,0.748,6.9,4.2,1.6,0.7,15.3,3.6,2.8,
Derrick Favors,PF,USA,1,Georgia Tech,"6'10""","7'-4""","9'-2""",36,35,27.5,293,179,0.611,1,0,0,0.629,8.4,1,0.9,2,12.4,2.5,2.6,
Wesley Johnson,SF,USA,3,Syracuse,"6'8""","7'-1""","8'-10""",31,,31.2,339,154,0.454,124,43,0.349,0.768,7,1.6,1.1,1.2,14,2.2,2.3,
DeMarcus Cousins,C,USA,1,Kentucky,"6'11""","7'-6""","9'-5""",38,38,23.5,369,206,0.558,6,1,0.167,0.604,9.8,1,1,1.8,15.1,2.1,3.2,
Ekpe Udoh,C,USA,3,Baylor,"6'10""","7'-5""","8'-11""",34,,27.1,242,114,0.472,15,4,0.289,0.62,6.4,1.5,0.8,2.9,8.5,1.5,2.3,
Greg Monroe,PF,USA,2,Georgetown,"6'11""","7'-2""","9'-1""",65,64,32.6,318,173,0.543,17,5,0.273,0.68,4,1.6,0.8,0.7,7.2,1.5,1.3,
Al-Farouq Aminu,SF,USA / Nigeria,2,Wake Forest,"6'9""","7'-3""","9'-1""",31,30,30.2,329,157,0.476,53,13,0.238,0.685,9.4,1.4,1.2,1.3,14.4,2.9,2.8,
Gordon Hayward,SF,USA,2,Butler,"6'8""","6'-8""","8'-7""",69,69,33.1,317,149,0.47,157,58,0.369,0.822,3.7,0.9,0.6,0.4,7.2,1,1,
Paul George,SF,USA,2,Fresno St,"6'9""","6'-11""","8'-11""",63,63,33.9,358,160,0.447,154,61,0.396,0.803,3.3,1.2,1,0.5,7.7,1.4,1.4,
Cole Aldrich,C,USA,3,Kansas,"6'10""","7'-5""","9'-4""",36,,21.6,227,130,0.574,0,0,0,0.718,8,0.7,0.5,2.3,9.6,1.2,2.1,
Xavier Henry,SG,USA,1,Kansas,"6'7""","6'11""","8'-9""",36,36,27.5,354,162,0.458,165,69,0.418,0.783,4.4,1.5,1.5,0.5,13.4,1.9,1.8,
Ed Davis,PF,USA,2,North Carolina,"6'10""","7'-0""","9'-0""",29,,23.4,192,105,0.548,0,0,0,0.616,8.1,0.8,0.4,2.2,9.7,1.5,2,
Patrick Patterson,PF,USA,3,Kentucky,"6'9""","7'-1""","8'-11""",97,97,34.1,351,206,0.585,24,8,0.329,0.73,2.7,0.5,0.2,0.5,5.4,0.5,0.7,
Larry Sanders,C,USA,3,VCU,"6'11""","7'-6""","9'-4""",34,,23.4,266,138,0.52,5,1,0.25,0.552,7.6,0.5,0.6,2.7,10.2,1.5,3.1,
Luke Babbitt,SF,USA,2,Nevada,"6'9""","6'-11""","8'-9""",34,,34.85,464,223,0.48,89,38,0.421,0.89,8.1,1.8,0.9,0.8,19.4,2.1,2.2,
Kevin Seraphin,PF,France,,Cholet Basket,"6'10""","7'-3""","9'-1""",,,,,,,,,,,,,,,,,,
Eric Bledsoe,PG,USA,1,Kentucky,"6'2""","6'8""","8'-2""",37,35,30.3,312,144,0.462,128,49,0.383,0.667,3,2.9,1.4,0.3,11.3,3,2.2,
Avery Bradley,SG,USA,1,Texas,"6'3""","6'-7""","8'-3""",34,32,29.5,368,159,0.432,112,42,0.375,0.545,2.9,2,1.3,0.5,11.6,1.5,2.4,
James Anderson,SG,USA,3,Oklahoma St,"6'6""","6'-9""","8'-8""",34,,32.8,423,194,0.46,200,75,0.375,0.784,5,1.6,1.1,0.6,17.8,2.1,2.1,
Craig Brackins,PF,USA,3,Iowa State,"6'10""","8'-0""","9'-1""",32,,31.8,428,191,0.445,79,23,0.292,0.73,7.7,1.6,0.5,1,16,2,2,
Elliot Williams,SG,USA,2,Memphis,"6'4""",,,34,,25,258,117,0.454,100,35,0.345,0.629,3.1,2.2,1,0,11,1.9,1.9,
Trevor Booker,PF,USA,4,Clemson,"6'8""","6'-10""","8'-10""",134,134,28.5,307,172,0.559,18,6,0.324,0.622,2,0.4,0.3,0.5,3.2,0.5,0.6,
Damion James,SF,USA,4,Texas,"6'8""","7'-1""","8'-11""",36,,29.2,368,176,0.479,71,26,0.364,0.631,9.2,1.1,1,13.3,1.8,1.8,2.7,
Dominique Jones,SG,USA,3,South Florida,"6'5""","6'-9""","8'-5""",32,,36.5,446,197,0.442,165,53,0.323,0.736,5.4,3.4,1.5,0.4,18.7,2.6,2.6,
Quincy Pondexter,SF,USA,4,Washington,"6'7""",,,136,102,27.3,324,163,0.503,41,14,0.27,0.754,1.4,0.4,0.2,0.1,3.3,0.5,0.6,
Jordan Crawford,SG,USA,2,Xavier,"6'4""","6'-7""","8'-5""",65,42,29.05,403,184,0.455,142,55,0.384,0.76,2,1.3,0.6,0.1,7.8,1.1,0.8,
Greivis Vasquez,PG,Venezuela,4,Maryland,"6'6""","6'-7""","8'-5""",136,123,33.6,442,188,0.425,175,58,0.329,0.826,1.2,1.4,0.4,0.1,4,0.8,0.6,
Daniel Orton,C,USA,1,Kentucky,"6'10""","7'-4""","9'-3""",38,,13.2,91,48,0.527,2,0,0,0.524,3.3,0.4,0.6,1.4,3.4,1,2.3,
Lazar Hayward,SF,USA,4,Marquette,"6'6""","7'-1""","8'-6""",35,,26.4,369,167,0.452,118,42,0.357,0.776,6.5,0.9,1.1,0.3,13.3,1.6,2.7,
Tibor Pleiß,C,Germany,,Brose Baskets,"7'0""",,,,,,,,,,,,,,,,,,,,
Dexter Pittman,C,USA,4,Texas,"6'11""","7'-6""","9'-1""",34,,12,135,84,0.623,0,0,0,0.57,3.9,0.3,0.2,0.9,6.5,1.1,1.9,
Hassan Whiteside,C,USA,1,Marshall,"7'0""","7'-7""","9'-5""",34,,26.1,319,167,0.524,5,3,0.6,0.588,8.9,0.3,0.6,5.4,13.1,1.9,2.4,
Armon Johnson,PG,USA,3,Nevada,"6'4""","6'-8""","8'-4""",34,,32.7,389,182,0.467,81,23,0.289,0.748,3.6,4.4,0.8,0.2,14.1,2.7,1.7,
Nemanja Bjelica,SF,Serbia,,Serbia,"6'10""",,,,,,,,,,,,,,,,,,,,
Terrico White,SG,USA,2,Ole Miss,"6'5""","6'-9""","8'-5""",33,,30.75,407,175,0.429,177,62,0.348,1.342,4,1.9,0.9,0.2,14.4,1.5,1.8,
Darington Hobson,SF,USA,1,New Mexico,"6'7""","6'-9""","8'-9""",35,,33.6,439,193,0.44,108,39,0.361,0.653,9.3,5,1.3,0.4,16,3,1.9,
Andy Rautins,SG,Canada,4,Syracuse,"6'6""","6'-7""","8'-4""",34,,22.6,227,90,0.396,189,70.5,0.374,0.689,2.4,2.6,1.3,0.2,8.2,1.6,1.7,
Landry Fields,SG,USA,4,Stanford,"6'7""",,,129,65,23.4,270,125,0.463,75,26,0.342,0.656,1.3,0.4,0.2,0.1,2.7,0.4,0.4,
Lance Stephenson,SG,USA,1,Cincinnati,"6'6""","6'-11""","8'-7""",34,,28.2,368,162,0.44,73,16,0.219,0.664,5.3,2.5,0.9,0.2,12.3,2.4,1.9,
Jarvis Varnado,PF,USA,4,Mississippi St,"6'10""","7'-4""","9'-2""",35,,25.5,233,137,0.589,1,0,0,0.574,7.8,0.6,0.5,4,10,1.4,2.5,
Da'Sean Butler,SF,USA,4,West Virginia,"6'7""",,,37,,30.7,414,185,0.448,145,51,0.353,0.713,5.4,1.9,1,0.2,14.1,1.7,2.3,
Devin Ebanks,SF,USA,2,West Virginia,"6'8""","7'-0""","8'-12""",69,,32.2,298,138,0.463,35,4,0.114,0.735,4,1.3,0.5,0.3,5.6,1,0.8,
Jerome Jordan,C,Jamaica,4,Tulsa,"7'1""","7'-5""","9'-5""",35,,22.7,241,137,0.567,0,0,0,0.597,7,0.8,0.3,2.4,10.8,1.9,2.4,
Paulão Prestes,C,Brazil,,Brazil,"6'10""",,,,,,,,,,,,,,,,,,,,
Gani Lawal,PF,Nigeria,3,Georgia Tech,"6'9""","7'-0""","8'-12""",99,91,24.2,271,149,0.548,0,1,0,0.542,2.4,0.1,0.2,0.4,3.9,0.7,0.8,
Keith Gallon,PF,USA,1,Oklahoma,"6'10""","7'-5""","9'-8""",30,,24,223,122,0.547,17,4,0.235,0.697,8,0.8,0.7,0.8,10.3,2.3,2.8,
Latavious Williams,SF,USA,,,"6'8""",,,,,,,,,,,,,,,,,,,,
Ryan Richards,PF,United Kingdom,,,"7'0""","7'-2""","9'-2""",,,,,,,,,,,,,,,,,,
Solomon Alabi,C,Nigeria,3,Florida St,"7'1""","7'-5""","10'-3""",29,,19.4,169,90,0.534,0,0,0,0.677,4.8,0.3,0.4,1.8,8,1.5,1.8,
Magnum Rolle,PF,Bahamas,4,Louisiana Tech,"6'11""",,,32,,20.9,203,102,0.503,1,0,0.333,0.582,5.5,0.6,0.6,1.4,8,1.4,2.1,
Luke Harangody,PF,USA,4,Notre Dame,"6'7""","6'-10""","8'-10""",32,,29.2,492,234,0.476,32,11,0.326,0.786,9.5,1.6,0.8,0.7,19.3,1.8,2.5,
Pape Sy,SF,France,,Senegal,"6'7""",,,,,,,,,,,,,,,,,,,,
Willie Warren,PG,USA,2,Oklahoma,"6'4""","6'-6""","8-'4""",28,,31.8,303,139,0.459,139,49,0.35,0.788,2.7,3.6,1.1,0.1,16,2.9,2.3,
Jeremy Evans,PF,USA,,Western Kentucky,"6'9""",,,,,,,,,,,,,,,,,,,,
Hamady N'Diaye,C,Senegal,4,Rutgers,"6'11""","7'-4""","9'-3""",31,,21.9,124,67,0.54,0,0,0,0.58,5.5,0.4,0.4,2.9,5.8,1.4,2.7,
Ryan Reid,PF,USA,,Florida St,"6'9""",,,,,,,,,,,,,,,,,,,,
Derrick Caracter,PF,USA,3,UTEP,"6'10""","7'-0""","8'-12""",27,,19,189,106,0.56,6,2,0.294,0.61,5.5,0.6,0.7,0.8,10.1,2.1,3,
Stanley Robinson,SF,USA,4,UConn,"6'8""","7'-0""","8'-12""",32,,26,252,122,0.485,53,19,0.351,0.649,6,1,0.6,1,9.6,1.6,1.6,
Dwayne Collins,PF,USA,4,Miami,"6'8""",,,126,99,23.7,205,116,0.565,0,0,0,0.558,1.7,0.2,0.2,0.2,2.5,0.4,0.5,
