Name,Position,Country,Season/s,Team,Height,Wingspan,Reach,GP,GS,MPG,FGA,FGM,FG%,3PA,3PM,3P%,FT%,RPG,APG,SPG,BPG,PPG,TO,Fouls,Class
Anthony Davis,PF/C,USA,1,Kentucky,6'10,"7'-6""","9'-0""",40,40,32,337,210,0.623,20,3,0.15,0.709,10.4,1.3,1.3,4.7,14.2,1,2,Good
Michael Kidd-Gilchrist,SF,USA,1,Kentucky,6'7,"7'-0""","8'-9""",40,39,31.1,326,160,0.491,51,13,0.255,0.745,7.4,1.9,1,0.9,11.9,2.2,2.4,Good
Bradley Beal,SG,USA,1,Florida,6'5,"6'-8""","8'-3""",37,37,34.2,393,175,0.445,186,63,0.339,0.769,6.7,2.2,1.4,0.8,14.8,2.1,2.1,Good
Dion Waiters,SG,USA,2,Syracuse Orange,6'4,"6'-7""","8'-2""",71,0,20.2,547,248,0.453,198,69,0.348,0.771,1.95,2,1.5,0.2,9.6,1.1,1.6,Good
Thomas Robinson,PF,USA,3,Kansas,6'10,"7'-4""","8'-10""",105,42,17.9,753,395,0.524,378,229,0.606,0.529,7,0.9,0.6,0.7,9.3,1.6,2.1,Bad
Damian Lillard,PG,USA,4,Weber State,6'3,"6'-8""","8'-0""",104,98,31.7,1310,584,0.446,630,246,0.39,0.86,4.2,3.5,1.3,0.2,18.4,2.4,2.1,Good
Harrison Barnes,SF,USA,2,North Carolina,6'8,"6'-11""","8'-6""",75,73,29.3,1018,439,0.431,332,116,0.349,0.737,5.5,1.3,0.9,0.4,16.4,1.9,1.9,Good
Terrence Ross,SG,USA,2,Washington,6'7,"6'-7""","8'-5""",69,39,24.3,700,317,0.453,319,116,0.364,0.762,4.6,1.2,1,0.7,12.2,1.4,2.4,Average
Andre Drummond,C,USA,1,Connecticut,6'11,"7'-6""","9'-2""",34,30,28.4,291,157,0.538,2,0,0,0.295,7.6,0.4,0.8,2.7,10,1.5,2.2,Good
Austin Rivers,SG,USA,1,Duke,6'4,"6'-7""","8'-1""",34,33,33.2,402,174,0.433,159,58,0.365,0.658,3.4,2.1,1,0,15.5,2.3,2.2,Average
Meyers Leonard,C,USA,2,Illinois,7'1,"7'-3""","9'-1""",65,31,20,349,198,0.567,12,1,0.083,0.719,4.7,0.8,0.4,1.2,7.9,1.4,2.2,Average
