Name,Position,Country,Season/s,Team,Height,Wingspan,Reach,GP,GS,MPG,FGA,FGM,FG%,3PA,3PM,3P%,FT%,RPG,APG,SPG,BPG,PPG,TO,Fouls,Class
Jeremy Lamb,SG,USA,2,Connecticut,6'5,"6'-11""","8'-5""",75,74,33,828,399,0.482,336,117,0.348,0.803,4.7,1.7,1.1,0.6,14.4,1.6,1.6,Bad
Kendall Marshall,PG,USA,2,North Carolina,6'4,"6'-6""","7'-11""",73,56,28.8,407,181,0.405,132,48,0.364,0.693,2.4,8,1.2,0.2,7.2,2.6,1.5,Average
John Henson,PF,USA,3,North Carolina,6'11,"7'-5""","9'-2""",109,82,23.9,955,475,0.497,24,5,0.208,0.477,8.1,1,0.6,2.4,10.37,1.5,1.5,Average
Maurice Harkless,SF,USA,1,St. John's,6'9,"7'-0""","8'-8""",32,32,36.1,452,201,0.445,84,17,0.202,0.676,8.6,1.5,1.6,1.4,15.5,2.4,2.3,Average
Royce White,PF,USA,1,Cyclones,6'8,"7'-0""","8'-9""",34,33,31.5,328,175,0.534,12,4,0.333,0.498,9.3,5,1.2,0.9,13.4,3.8,2.6,Bad
Tyler Zeller,C,USA,4,North Carolina,7'0,"7'-0""","8'-8""",117,75,20.4,1010,547,0.542,2,0,0,0.764,11.2,1,1.1,1.5,20.8,1.4,2.3,Good
Terrence Jones,PF,USA,2,Kentucky,6'9,"7'-2""","8'-10""",76,69,30.4,820,383,0.467,128,42,0.328,0.637,8,1.5,1.2,1.9,14,1.8,2.4,Bad
Andrew Nicholson,PF,Canada,4,St. Bonaventure,6'9,"7'-4""","8'-11""",123,118,29.8,1407,809,0.575,76,29,0.382,0.715,7.2,0.7,0.5,2,17.1,2.4,3,Average
Evan Fournier*,SG,France,,,6'7,"6'-8""","8'-7""",,,,,,,,,,,,,,,,,,
Jared Sullinger,PF,USA,2,Ohio State,6'9,"7'-1""","8'-11""",74,73,31.1,849,450,0.53,52,19,0.365,0.736,9.7,1.2,1.1,0.8,17.4,1.8,2.7,Average
Fab Melo,C,Brazil,2,Syracuse,7'1,"7'-2""","9'-2""",63,54,17.7,229,132,0.576,0,0,0,0.497,3.9,0.5,0.8,1.9,5.1,1.1,2.3,Bad
John Jenkins,SG,USA,3,Vanderbilt,6'4,"6'-9""","8'-4""",98,74,30.4,1103,517,0.469,699,306,0.438,0.843,2.7,1.1,2.1,0.3,16.8,1.3,1.2,Average
Jared Cunningham,SG,USA,3,Oregon State Beavers,6'4,"6'-7""","8'-2""",98,83,27.6,835,380,0.455,244,84,0.375,0.754,3,1.9,2.2,0.2,12.8,2.6,2.5,Bad
Tony Wroten Jr.,PF,USA,1,Washington,6'6,"6'-9""","8'-5""",35,35,30.3,447,198,0.443,56,9,0.161,0.583,5,3.7,1.9,0.4,16,3.8,2.7,Bad
Miles Plumlee,C,USA,4,Duke,6'11,"7'-1""","8'-9""",135,58,15.4,471,262,0.556,1,1,1,0.597,4.7,0.5,0.5,0.7,4.7,1,2.3,Bad
Arnett Moultrie,PF,USA,3,UTEP/Mississippi State,6'10,"7'-2""","8'-11""",100,97,30.5,863,441,0.511,97,28,0.289,0.655,9,1,1,0.8,11.7,2.1,2.4,Bad
Perry Jones III,SF,USA,2,Baylor Bears,6'11,"7'-2""","8'-11""",63,63,32.3,659,344,0.522,43,12,0.28,0.68,7.4,1.3,0.7,0.8,13.7,2,2.3,Bad
Marquis Teague,PG,USA,1,Kentucky,6'2,"6'-7""","8'-3""",40,40,32.6,352,145,0.412,80,26,0.325,0.714,2.5,4.9,0.9,0.2,10,2.7,2.3,Bad
Festus Ezeli,C,Nigeria,4,Vanderbilt,6'11,"7'-6""","8'-10""",121,67,18,587,330,0.562,0,0,0,0.534,4.5,0.2,0.3,1.7,7.7,1.6,2.6,Average
Jeffrey Taylor,SF,Sweden,4,Vanderbilt,6'7,"6'-11""","8'-9""",134,133,29.2,1378,665,0.483,321,115,0.358,0.69,5.6,1.9,1.1,0.5,14.1,2.3,2.3,Average
Tomas Satoransky,SG,Czech,,Liga ACB/Euroleague,6'7,"6'-7""","8'-4""",,,,,,,,,,,,,,,,,,
Bernard James,C,USA,2,Florida State,6'10,"7'-3""","9'-1""",69,57,24.6,437,274,0.627,0,0,0,0.528,7,0.3,0.8,2.4,9.7,1.8,1.8,Average
Jae Crowder,SF,USA,2,Marquette,6'6,"6'-9""","8'-3""",72,52,30.2,762,375,0.492,294,103,0.35,0.676,7.6,1.9,1.9,1,14.7,1,2.5,Average
Draymond Green,PF,USA,4,Michigan State,6'7,"7'-1""","8'-10""",145,67,25,1163,543,0.467,252,91,0.361,0.673,7.6,2.9,1.3,3.1,10.5,1.9,2.7,Average
Orlando Johnson,SG,USA,4,Loyola Marymount/UCSB,6'5,"6'-11""","8'-3""",124,122,31.3,1615,738,0.457,568,222,0.391,0.72,5.6,2.6,0.9,0.5,17.8,2.6,2.2,Bad
Quincy Acy,PF,USA,4,Baylor Bears,6'7,"7'-3""","8'-11""",139,66,25.1,835,503,0.602,7,3,0.429,0.708,6,0.6,0.7,1.3,9.8,1.5,2.6,Bad
Quincy Miller,SF,USA,1,Baylor Bears,6'10,"7'-1""","9'-1""",37,35,24.4,309,138,0.447,69,24,0.348,0.816,4.9,1.4,0.7,0.6,10.6,1.8,1.9,Bad
Khris Middleton,SF,USA,3,Texas A&M Aggies,6'8,"6'-11""","8'-9""",87,72,26,790,341,0.432,287,92,0.321,0.768,4.6,2,1,0.2,11.3,2,2.1,Bad
Will Barton,SG,USA,2,Memphis,6'6,"6'-10""","8'-7""",70,59,32.9,842,397,0.471,254,76,0.299,0.733,6.5,2.9,1.5,0.6,15.2,2.3,2.2,Average
Tyshawn Taylor,PG,USA,4,Kansas,6'3,"6'-6""","8'-2""",146,127,27.7,1156,551,0.477,324,120,0.37,0.708,2.2,3.9,1.2,0.2,10.8,2.6,1.6,Bad
Doron Lamb,SG,USA,2,Kentucky,6'4,"6'-7""","8'-3""",78,49,29.8,693,336,0.485,303,144,0.475,0.811,2.3,1.6,0.5,0.1,13.1,1.2,2,Bad
Mike Scott,PF,USA,5,Virginia,6'8,"6'-11""","8'-9""",130,106,26.6,1122,585,0.521,44,16,0.364,0.775,4.7,1,0.7,0.4,11.8,1.6,1.5,Bad
Kim English,SG,USA,4,Missouri,6'6,"6'-7""","8'-3""",141,106,24.2,1227,515,0.42,606,239,0.394,0.727,3,1.4,1.1,0.2,11.1,1.7,1.8,Bad
Justin Hamilton,C,USA,3,Iowa State/LSU,7'0,"7'-2""","9'-1""",96,81,21.8,540,289,0.535,12,3,0.25,0.741,5.2,0.5,0.4,1,7.9,1.1,2,Bad
Darius Miller,SF,USA,4,Kentucky,6'8,"6'-9""","8'-7""",152,82,24.9,989,444,0.448,463,175,0.378,0.815,3.2,1.8,0.8,0.7,8.2,1.4,2.3,Bad
Kevin Murphy,SG,USA,4,Tennessee Tech,6'7,"6'-7""","8'-4""",128,109,29,1594,706,0.443,515,191,0.371,0.734,4.2,1.9,0.8,0.2,15.8,3,2.1,Bad
Kostas Papanikolaou*,SF,Greece,,HEBA A1/EuroCup/Euro League/Greek A1/Liga ACB,6'7,"6'-9""","8'-8""",,,,,,,,,,,,,,,,,,Average
Kyle O'Quinn,PF,USA,4,Norfolk State,6'10,"7'-5""","9'-3""",129,98,27.5,1108,611,0.551,208,55,0.264,0.685,8.5,1.3,0.5,2.2,12.5,2,3,Average
Izzet Turkyilmaz*,PF,Turkey,,EuroCup/EuroLeague/LNB Pro A,6'11,,,,,,,,,,,,,,,,,,,,Bad
Kris Joseph,SF,Canada,4,Syracuse,6'7,"6'-11""","8'-8""",140,77,26.6,1094,491,0.449,338,112,0.331,0.702,1.5,1.3,1.3,0.5,10.5,1.6,1.6,Bad
Ognjen Kuzmic*,C,Serbian,,Liga ACB/Euroleague/Greek A1,7'0,,,,,,,,,,,,,,,,,,,,Bad
Furkan Aldemir*,PF,Turkey,,Galatasaray/Darussafaka,6'9,,,,,,,,,,,,,,,,,,,,Average
Tornike Shengelia*,SF,Georgia,,Liga ACB/EuroLeague/EuroCup,6'9,,,,,,,,,,,,,,,,,,,,Bad
Darius Johnson-Odom,SG,USA,3,Marquette,6'2,"6'-7""","7'-11""",105,90,30.8,1257,558,0.444,549,221,0.403,0.722,1.5,1.3,0.9,0.2,8.1,2.1,2.3,Bad
Tomislav Zubcic*,PF,Croatia,,Cibona Zagreb/Cedevita Zagreb/Nizhny Novgorod,7'0,"7'-0""","8'-11""",,,,,,,,,,,,,,,,,,Bad
Ilkran Karaman*,PF,Turkey,,Fenerbahce Ulker,6'9,,,,,,,,,,,,,,,,,,,,Bad
Robbie Hummel,SF,USA,4,Purdue,6'8,"6'-9""","8'-6""",127,120,30.2,1315,583,0.443,555,216,0.389,0.841,1.5,1.3,1,0.9,14,1.1,2.4,Average
Marcus Denmon,PG,USA,4,Missouri,6'3,"6'-5""","7'-10""",141,71,25.5,1311,597,0.455,705,283,0.401,3.4,1.5,1.3,1.3,0.1,12.6,1,1.3,Bad
Robert Sacre,C,USA,5,Gonzaga,7'0,"7'-1""","9'-0""",136,111,21.7,812,409,0.504,3,1,0.333,0.735,1.5,1.3,0.5,1.4,9.3,1.6,2.3,Average
